label,plot,rated,language,title,country,writer,year,metascore,imdb_id,director,released,imdb_rating,awards,poster,genre,actors,runtime,type,response,imdb_votes
Ana,"An adventurous girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",PG,"English, Russian",Coraline,USA,"Henry Selick (screenplay), Neil Gaiman (book)",2009,80,tt0327597,Henry Selick,06 Feb 2009,7.7,Nominated for 1 Oscar. Another 7 wins & 41 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_SX300.jpg,"Animation, Family, Fantasy","Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French",100,movie,True,"149,921"
Bruno,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",TV-14,English,Mad Men,USA,Matthew Weiner,2007,None,tt0804503,None,19 Jul 2007,8.6,Won 5 Golden Globes. Another 130 wins & 363 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwNzk5Nzg2OV5BMl5BanBnXkFtZTgwMjg1OTk1NDE@._V1_SX300.jpg,Drama,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones",47,series,True,"146,950"
Ana,"Profion, a tyrant, attempts to overthrow a peaceful kingdom ruled by a tough empress.",PG-13,English,Dungeons & Dragons,"USA, Czech Republic, Canada","Topper Lilien, Carroll Cartwright",2000,14,tt0190374,Courtney Solomon,08 Dec 2000,3.7,4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMDc3OTQyOV5BMl5BanBnXkFtZTYwMzk5OTc3._V1_SX300.jpg,"Action, Adventure, Comedy","Jeremy Irons, Bruce Payne, Justin Whalin, Marlon Wayans",107,movie,True,"27,945"
Ana,"A vapid aspiring model killed in a car crash gets brought back to life as an intelligent, overweight lawyer, hoping to find the meaning of inner beauty.",None,English,Drop Dead Diva,USA,Josh Berman,2009,None,tt1280822,None,12 Jul 2009,7.4,7 wins & 12 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxMzUyOTk4MV5BMl5BanBnXkFtZTcwMjEwMDQyMw@@._V1_SX300.jpg,"Comedy, Drama","Brooke Elliott, Margaret Cho, Kate Levering, April Bowlby",60,series,True,"14,852"
Bruno,None,TV-14,English,Franklin & Bash,USA,"Bill Chais, Kevin Falls",2011,None,tt1600199,None,01 Jun 2011,7.7,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MjEwNzY2N15BMl5BanBnXkFtZTgwNTAxODQxMDE@._V1_SX300.jpg,"Comedy, Crime","Mark-Paul Gosselaar, Breckin Meyer, Reed Diamond, Malcolm McDowell",60,series,True,"11,956"
Ana,A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,R,English,Honeymoon,USA,"Phil Graziadei, Leigh Janiak",2014,65,tt3177316,Leigh Janiak,12 Sep 2014,5.6,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzczMzEzNDAzMF5BMl5BanBnXkFtZTgwNzU0Mjg0MjE@._V1_SX300.jpg,"Horror, Mystery, Thriller","Rose Leslie, Harry Treadaway, Ben Huber, Hanna Brown",87,movie,True,"17,928"
Ana,"Family guy Jack Sadelstein prepares for the annual event he dreads: the Thanksgiving visit of his twin sister, the needy and passive-aggressive Jill, who then refuses to leave.",PG,English,Jack and Jill,USA,"Steve Koren (screenplay), Adam Sandler (screenplay), Ben Zook (story)",2011,23,tt0810913,Dennis Dugan,11 Nov 2011,3.4,14 wins & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjczMTU5OTUyMl5BMl5BanBnXkFtZTcwODEzNjc3Ng@@._V1_SX300.jpg,Comedy,"Adam Sandler, Al Pacino, Katie Holmes, Elodie Tougne",91,movie,True,"61,441"
Ana,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while unraveling the mystery of the murder of their best friend.",TV-14,English,Pretty Little Liars,USA,I. Marlene King,2010,None,tt1578873,None,08 Jun 2010,7.7,31 wins & 31 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BN2FhMzliMTEtNDNiYy00YTRiLWJlZWEtNWIxOGRhYjU2ODk2XkEyXkFqcGdeQXVyNjczNjU1MjI@._V1_SX300.jpg,"Drama, Mystery, Romance","Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell",44,series,True,"119,809"
Bruno,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,PG,English,Dead Poets Society,USA,Tom Schulman,1989,79,tt0097165,Peter Weir,09 Jun 1989,8.0,Won 1 Oscar. Another 18 wins & 18 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Comedy, Drama","Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",128,movie,True,"283,390"
Ana,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,TV-PG,English,Once Upon a Time,USA,"Adam Horowitz, Edward Kitsis",2011,None,tt1843230,None,23 Oct 2011,7.9,Nominated for 6 Primetime Emmys. Another 9 wins & 64 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzkyYjU4YTItYmNmZC00MWIwLWE3MTctMDc2NTY3NzY4YWJlXkEyXkFqcGdeQXVyNDMxNTQ0ODY@._V1_SX300.jpg,"Adventure, Fantasy, Romance","Jennifer Morrison, Lana Parrilla, Jared Gilmore, Robert Carlyle",44,series,True,"174,507"
Bruno,"A self-loathing, alcoholic writer attempts to repair his damaged relationships with his daughter and her mother while combating sex addiction, a budding drug problem, and the seeming inability to avoid making bad decisions.",TV-MA,English,Californication,USA,Tom Kapinos,2007,None,tt0904208,None,13 Aug 2007,8.3,Won 1 Golden Globe. Another 5 wins & 28 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMDM2ODExNF5BMl5BanBnXkFtZTgwNTI2MjkzMTE@._V1_SX300.jpg,"Comedy, Drama","David Duchovny, Natascha McElhone, Evan Handler, Pamela Adlon",28,series,True,"148,704"
Ana,"After the sudden death of his wife, a young father enlists the help of his brother-in-law and his childhood friend to help him raise his three young children.",TV-G,English,Full House,USA,Jeff Franklin,1987,None,tt0092359,None,None,6.7,16 wins & 20 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2Njk5ODYzNV5BMl5BanBnXkFtZTcwNzUxNDE0MQ@@._V1_SX300.jpg,"Comedy, Drama, Family","John Stamos, Dave Coulier, Candace Cameron Bure, Jodie Sweetin",22,series,True,"42,279"
Ana,"Sheriff Deputy Rick Grimes leads a group of survivors in a world overrun by the walking dead. Fighting the dead, fearing the living.",TV-MA,English,The Walking Dead,USA,Frank Darabont,2010,None,tt1520211,None,31 Oct 2010,8.6,Nominated for 1 Golden Globe. Another 48 wins & 146 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMDk1NDYyMV5BMl5BanBnXkFtZTgwNjE1NDU4MDI@._V1_SX300.jpg,"Drama, Horror, Thriller","Andrew Lincoln, Chandler Riggs, Norman Reedus, Melissa McBride",44,series,True,"664,856"
Ana,"The offbeat adventures of Courage, a cowardly dog who must overcome his own fears to heroically defend his unknowing farmer owners from all kinds of dangers, paranormal events and menaces that appear around their land.",TV-Y7,English,Courage the Cowardly Dog,USA,John Dilworth,1999,None,tt0220880,None,12 Nov 1999,8.3,2 wins & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0NjI5ODAxN15BMl5BanBnXkFtZTcwMTk2ODAwMw@@._V1_SX300.jpg,"Animation, Adventure, Comedy","Marty Grabstein, Thea White, Peter Fernandez, Simon Prebble",11,series,True,"25,895"
Bruno,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",R,"German, English",The Experiment,Germany,"Mario Giordano (novel), Mario Giordano (screenplay), Christoph Darnstädt (screenplay), Don Bohlinger (screenplay)",2001,60,tt0250258,Oliver Hirschbiegel,08 Mar 2001,7.8,14 wins & 13 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTI3YWRkMzctZTFmNC00NWUzLWJlOTYtYWM0YzBiMTBiNjRlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Drama, Thriller","Moritz Bleibtreu, Christian Berkel, Oliver Stokowski, Wotan Wilke Möhring",120,movie,True,"79,680"
Bruno,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",None,None,Chef's Table,USA,None,2015,None,tt4295140,None,26 Apr 2015,8.8,Nominated for 4 Primetime Emmys. Another 1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMzcyODU4MV5BMl5BanBnXkFtZTgwODMyNzE4NTE@._V1_SX300.jpg,Documentary,"Dan Barber, Massimo Bottura, Bill Buford, Lara Gilmore",50,series,True,"4,358"
Ana,"While preparing for their wedding, Shang and Mulan are suddenly sent off on a secret mission. Mushu starts to meddle, and a surprise attack by Mongolians doesn't help either.",G,English,Mulan 2,"USA, South Korea, Singapore, Russia, Malaysia, Kazakhstan","Michael Lucker (screenplay), Chris Parker (screenplay), Roger S.H. Schulman (screenplay)",2004,None,tt0279967,"Darrell Rooney, Lynne Southerland",31 Jan 2005,5.8,None,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMzIyNzA3M15BMl5BanBnXkFtZTcwOTQ0MDcyMQ@@._V1_SX300.jpg,"Animation, Action, Comedy","Ming-Na Wen, BD Wong, Mark Moseley, Lucy Liu",79,movie,True,"14,017"
Dois,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,TV-14,English,Grey's Anatomy,USA,Shonda Rhimes,2005,None,tt0413573,None,27 Mar 2005,7.7,Won 2 Golden Globes. Another 66 wins & 197 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3OTkyOTU2NF5BMl5BanBnXkFtZTgwMTA3ODE2OTE@._V1_SX300.jpg,"Drama, Romance","Ellen Pompeo, Justin Chambers, Chandra Wilson, James Pickens Jr.",41,series,True,"167,648"
Dois,"Nao rents her dream apartment, but things are not what they seem when she finds out she will be sharing it with high school heart throb Uehara.",None,Japanese,Good Morning Call,Japan,None,2016,None,tt5520732,None,None,8.5,None,None,"Comedy, Romance","Moe Arai, Haruka Fukuhara, Shun'ya Shiraishi, Shûgo Nagashima",48,series,True,514
Dois,"When a young boy disappears, his mother, a police chief, and his friends must confront terrifying forces in order to get him back.",TV-14,English,Stranger Things,USA,"Matt Duffer, Ross Duffer",2016,None,tt4574334,None,15 Jul 2016,9.0,1 win & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMDAxOTUyMV5BMl5BanBnXkFtZTgwNzAxMzYzOTE@._V1_SX300.jpg,"Drama, Fantasy, Horror","Rob Morgan, Winona Ryder, David Harbour, Finn Wolfhard",55,series,True,"224,465"
Bruno,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,TV-14,English,Two and a Half Men,USA,"Lee Aronsohn, Chuck Lorre",2003,None,tt0369179,None,22 Sep 2003,7.1,Nominated for 2 Golden Globes. Another 29 wins & 70 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwMDU1MDExNl5BMl5BanBnXkFtZTcwOTAwMjYyOQ@@._V1_SX300.jpg,"Comedy, Romance","Jon Cryer, Angus T. Jones, Conchata Ferrell, Charlie Sheen",22,series,True,"202,549"
